Content,Video title,Video publish time,Duration,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
V7v0L-sXruw,Catholic Worship - 3/29/13 - Good Friday,"Mar 29, 2013",4847,30,165,124,46122,4687.7563,59,149657,4.56
jhws3V3L7KI,Service of Word and Prayer - 3/22/20,"Mar 22, 2020",2924,30,26,32,2815,443.0776,14,32102,3.25
C4yUJgFBt7Y,Sunday Morning Worship Service - 8/2/20 - Rev. Bruce Puckett,"Aug 2, 2020",3785,29,9,17,1826,368.0258,6,14477,4.01
SEyq-nby8eY,Sunday Morning Worship Service - 5/17/20,"May 17, 2020",4126,29,13,21,2180,487.0319,13,27902,3.41
_Myz5-bxQpw,Catholic Mass - 3/30/13 - Easter Vigil,"Mar 31, 2013",9452,29,44,44,25222,2322.8889,20,58969,5.55
dJBlddp0MN8,Sunday Morning Worship Service - 12/13/20 - Dean Luke A. Powery,"Dec 13, 2020",5221,29,17,17,1980,613.8296,0,23497,3.52
2d32pvWXmf4,Sunday Morning Worship Service - 7/12/20 - Dean Luke A. Powery,"Jul 12, 2020",4689,28,21,19,1918,537.2322,5,19173,4.22
ShFHNXr2pjg,Sunday Sermon - Radical Discipleship - Shane Claiborne,"Feb 12, 2009",923,28,178,167,25386,1563.4283,27,56531,4.48
tlRgOnCLUOg,School of Nursing Graduation - 12/14/19,"Dec 14, 2019",5979,28,22,12,1263,225.3799,0,12352,2.58
 -Ac108zZhw0,Sunday Morning Worship Service - 5/24/20 - Rev. Bruce Puckett,"May 24, 2020",4068,27,5,23,1624,412.5063,5,17713,3.87
KzbGvsOgeu8,Sunday Morning Worship Service - 7/26/20 - Rev. Kathryn Lester-Bacon,"Jul 26, 2020",4600,27,12,17,1624,397.7035,11,16850,3.54
5f8L-4bb4KI,Sunday Morning Worship Service - 11/22/20 - Rev. Kathryn Lester-Bacon,"Nov 22, 2020",4619,25,10,19,2051,514.9714,4,20968,4.2
R1PzP5MoArw,Sunday Morning Worship Service - 9/27/20,"Sep 27, 2020",5034,25,7,18,1766,463.8131,2,16202,4.49
SwKv1BzDPX8,Sunday Morning Worship Service - 11/29/20 - Rev. Dr. Carol Gregg,"Nov 29, 2020",4865,25,7,23,2915,619.2497,10,36823,3.33
pqgoSMEV_Ls,Duke University Medical School - 2010 Hippocratic Oath,"May 18, 2010",5711,25,25,31,12292,369.9929,5,35565,3.93
_2TQiNnuw4U,Sunday Sermon - How to Die - Sam Wells,"Aug 11, 2008",1356,24,152,85,18182,1020.2021,21,40102,4.77
ipfqvax0T5Y,Sunday Morning Worship Service - 7/19/20 - Dean Luke A. Powery,"Jul 19, 2020",3910,24,14,13,912,327.7163,5,5090,6.21
-7N-rPZBdtM,Buxtehude's Membra Jesu Nostri - Duke Vespers Ensemble,"Apr 21, 2013",5255,23,104,83,15374,2206.7841,36,57533,4.77
ODI9nif37aU,Catholic Mass - 2/16/14 - 6th Sunday of Ordinary Time,"Feb 17, 2014",3992,23,20,8,8702,1072.0663,7,7543,8.5
aMs4lvQFC58,Sunday Morning Worship Service - 5/3/20,"May 3, 2020",4564,22,17,23,2152,653.6359,15,18098,4.82
gITfEgZiEeg,Maundy Thursday Worship Service - 4/9/20,"Apr 9, 2020",3381,22,40,40,4689,708.682,13,46384,3.76
HXC6gB5C5os,Sunday Morning Worship Service - 6/21/20 - Rev. Dr. Carol Gregg,"Jun 21, 2020",3488,21,3,17,1347,313.636,4,15414,3.91
KZeG35dA82E,2019 School of Nursing Hooding and Recognition Ceremony,"May 12, 2019",9020,21,40,15,1384,261.0008,2,14967,2.72
aAuq_2vDIlQ,Sunday Service - 10/31/10 - Peter Gomes,"Nov 1, 2010",5665,21,64,67,20638,1956.7902,17,44602,5.65
m5OOR2A3uPo,Sunday Morning Worship Service - 4/19/20,"Apr 19, 2020",3809,21,10,21,2141,554.6651,15,19521,4.47
4Tfjt0h1tUQ,"Non nobis, Domine (Rosephanye Powell)","Mar 28, 2021",220,20,893,635,55313,2178.2395,88,244437,11.87
OO8ojJ7_Yqs,Duke Physician Assistant Program Certificate Ceremony,"Aug 2, 2019",3987,19,15,10,1062,134.2619,0,16953,2.48
xq7mTW-A3zo,Good Friday Worship Service - 4/10/20,"Apr 11, 2020",3665,19,36,40,5695,714.2066,19,64107,3.41
4lzZHrgCNP8,Bach Organ Concert: 'Master Craftsman: The Height of Genius',"Nov 20, 2016",4516,18,180,274,32121,4329.6341,108,205378,5.58
2amN1FAPhWY,Sunday Morning Worship Service - 8/9/20 - Rev. Bruce Puckett,"Aug 9, 2020",4237,17,4,17,1519,391.1401,3,17039,3.59
5PBOLBVECx8,2017 Duke School of Nursing Hooding and Recognition Ceremony,"May 14, 2017",9181,17,35,19,1214,180.1138,3,5122,2.75
QIfkT6yDMpY,Celebration of Music,"Sep 30, 2016",5099,17,40,19,1918,467.5495,5,152,4.61
QBXGFc4bD5I,Service of Word and Prayer - 3/29/20,"Mar 29, 2020",2933,16,12,14,1285,297.0862,9,9237,3.63
YkT_IQoRomM,Sunday Service - 10/10/10 - NT Wright,"Oct 11, 2010",4811,16,43,116,25935,2612.9182,48,64434,4.46
YoQQ9eqngZk,Handel's Messiah 2022,"Dec 19, 2022",6455,16,461,214,11130,3564.9013,81,112823,4.05
IwPhn546uQs,Sunday Sermon - Continuing Through The Disruptive Conjunction - Walter Brueggeman,"Apr 11, 2009",1140,15,176,86,18311,1786.5448,56,68208,5.31
ZwBaN9YFAUw,Daniel Roth Organ Recital - 3/1/2009,"Sep 4, 2013",4155,15,43,67,10737,986.8016,17,49615,5.18
oU_Slg-A3Yw,Catholic Mass - 5/12/13 - 7th Sunday of Easter (The Ascension of the Lord),"May 13, 2013",4701,15,22,18,12536,1092.5794,12,28357,10.65
zbmGWxhUKWg,The Wedding of Vijay Alfred and Rathna Devanand,,4361,15,34,43,1430,173.2543,12,82,10.98
hhlhJzE_FuA,Duke Chapel Virtual Tour,"Aug 28, 2020",749,14,249,167,25636,1120.7644,52,534910,0.92
 -d3V8RA5RZY,Memorial Service for Dr. Brenda Armstrong,"Oct 23, 2018",7063,13,75,25,2259,596.3814,6,17188,3.03
D1P5U8R1N2k,2018 Martin Luther King Jr. Commemoration,"Jan 14, 2018",7767,13,69,29,2230,359.8395,0,48209,1.21
OPJgYQ33b3Y,2019 Hippocratic Oath and Diploma Ceremony,"May 11, 2019",8904,13,23,11,1341,190.6351,6,27374,1.92
MUXCzEIxDYw,Christmas Eve Service of Lessons and Carols - 12/24/17,"Dec 25, 2017",7106,12,90,41,8274,1868.3824,17,58591,4.03
XMrGK1JG4GA,Sunday Service - 2/28/10 - Barbara Brown Taylor,"Mar 2, 2010",5595,12,150,113,42536,4347.0109,53,86388,4.58
3DDk4Os-WxY,Easter Sunday Morning Worship Service - 3/31/24 - Dean Luke A. Powery,"Apr 1, 2024",5385,11,66,68,5794,1194.8475,39,69700,5.44
RV-1VLJHzIs,Dr David Arcus performs Sowerby's Pageant,"Mar 5, 2009",752,11,4,14,5117,81.1283,1,5284,3.54
SsKvwGkNyag,Catholic Mass - 11/18/12 - 33rd Sunday in Ordinary Time,"Nov 19, 2012",3736,11,92,83,25163,1189.1012,67,111292,9.53
WPi-ZDVfCVc,University Worship Service - 7/30/17 - Rev. Fred Davis,"Jul 30, 2017",5141,11,25,6,1390,261.035,1,4250,3.36
WrXn-Hm0iy0,Clavierübung III: The German Organ Mass,"Apr 9, 2017",7081,11,67,145,10825,1863.5957,53,93279,5.9
bd_72g8C_q0,"Sunday Morning Worship Service - 1/20/19 - Rev. Dr. Otis Moss, Jr.","Jan 20, 2019",5772,11,20,9,1752,388.1249,2,16055,4.22
imVwiv-K_pY,Catholic Mass - 3/28/13 - Holy Thursday,"Mar 29, 2013",5361,11,30,34,15753,1345.9151,14,48478,5.69
nltzVKDQOlo,University Worship Service - 1/14/18 - Dr. Michael Eric Dyson,"Jan 14, 2018",5152,11,139,50,4640,938.8881,15,50310,2.85
qUGlIud_Qf4,Sunday Service - 11/9/08 - Dr Jean Vanier,"Dec 20, 2011",4668,11,44,43,4876,1046.5782,13,25635,5.03
sCxF9ykCx8E,Worship Service - 3/15/15 - Sarah Howell,"Mar 15, 2015",5476,11,12,5,2069,303.9962,0,3270,2.2
u0DTAKUNUzU,Catholic Mass - 3/31/13 - Easter Sunday of the Resurrection of the Lord,"Apr 1, 2013",4495,11,17,16,12857,1016.1679,5,35775,6.81
yTn0vL-T8Xk,Sunday Morning Worship Service - 9/8/19 - Rev. Dr. N.T. Wright,"Sep 8, 2019",5796,11,109,46,6086,1431.4948,30,51556,4.15
aXLs8C0RDMc,"Dr Robert Parkins performs Reger's Toccata in D Minor, Op. 5","Mar 5, 2009",289,10,13,20,7030,46.543,1,5711,3.8
d8FutVXZJ3I,Catholic Mass - 11/27/11 - 1st Sunday of Advent,"Nov 28, 2011",4542,10,12,29,13777,813.0235,7,17689,6.57
iOFJsuapkZ0,"Dr Robert Parkins performs Franck's Pastorale, Op. 19","Mar 5, 2009",673,10,2,14,4062,70.6829,2,5368,3.5
 -UBBnRFi_Po,Sunday Service - 9/12/10 - Kori Jones,"Sep 13, 2010",5566,9,2,5,5054,215.0271,3,2883,4.02
D-DcDrUY0qo,Catholic Mass - 7/15/12 - 15th Sunday in Ordinary Time,"Jul 16, 2012",4303,9,3,7,4365,308.9129,1,5030,6.72
GldVY7z3Okc,"Catholic Mass - October 16, 2011","Oct 16, 2011",0,9,0,1,0,0,0,0,
NFWDtRZQ31o,Christ the Lord Is Risen Today (EASTER HYMN),"Apr 4, 2021",348,9,327,144,23904,824.1126,39,55918,6.89
b47PiNClufg,University Worship Service - 5/8/16 - Luke Powery,"May 8, 2016",5253,9,1,0,264,24.2302,1,0,
hQaLCEVa2iM,Catholic Mass - 4/5/12 - Holy Thursday,"Apr 6, 2012",5308,9,39,31,17105,1252.0488,14,25113,5.3
jGZYaL5B30M,Sunday Morning Worship Service - 3/1/20 - Rev. Bruce Puckett,"Mar 1, 2020",5230,9,34,15,1759,420.683,2,14551,4.58
lG6rmDJ2-hs,University Worship Service - 8/13/17 - Rev. Dr. Frank Thomas,"Aug 13, 2017",5229,9,61,33,3640,742.2782,10,9067,3.88
sEzT7hFdhLU,Sunday Service - 11/13/11 - Barbara Brown Taylor,"Nov 16, 2011",5030,9,112,47,21093,2754.3423,32,50435,5.16
AYbbA5N1smA,"Praise to The Lord, The Almighty (Dan Forrest)","Apr 12, 2021",397,8,182,138,12007,513.9966,29,114112,3.87
GqAMk_Go_lc,Duke Divinity School's 92nd Baccalaureate,"May 13, 2018",7636,8,41,20,1863,371.5439,8,12846,4.93
HWIHMRGuYvc,Sunday Morning Worship Service - 5/1/22,"May 1, 2022",5383,8,261,83,4766,1277.2152,36,46826,4.96
He6LjfOU90U,Easter Sunday Morning Worship Service - 4/4/21 - Rev. Dr. Luke A. Powery,"Apr 4, 2021",4560,8,63,36,4443,1102.687,11,45588,5.16
KkL3-UpbfVM,Christmas Eve Worship Service - 12/24/19 - Rev. Dr. Luke A. Powery,"Dec 24, 2019",4277,8,55,14,1759,250.5455,0,13951,4.54
Kx-a3D7fOqk,Sunday Morning Worship Service - 10/3/21 - Rev. Dr. James Forbes,"Oct 3, 2021",5901,8,35,22,1624,553.094,5,15255,5.26
OqYaNuguhmc,"Robert Parkins Performs His Arrangement of ""Im Abendrot” by Richard Strauss","Jun 14, 2017",533,8,48,37,3228,129.5441,6,26951,4.25
W3hfqWDXz-0,Peace in an Age of Terror,"Oct 24, 2016",4360,8,42,13,1489,318.4913,5,7070,2.22
YiEnt0KtyiQ,Dr David Arcus performs Tournemire's Improvisation on the Te Deum,"Mar 5, 2009",432,8,2,18,4095,48.3354,1,5305,3.45
ZNTq1_BTPPw,Iain Quinn Organ Recital,"Apr 11, 2009",4157,8,10,18,7698,195.8644,2,91,2.2
_VGogH9cCfE,Sunday Morning Worship Service - 12/3/23 - Beth Moore,"Dec 4, 2023",4747,8,310,90,5700,1387.325,33,33148,6.78
a3zAUER0Ey4,Bach Cantata Series—Magnificat: Music of Celebration by Johann Sebastian Bach,"Sep 18, 2022",4500,8,69,60,1861,376.2836,24,37463,2.59
bD69wA04lt8,Sunday Morning Worship Service - 10/9/22 - Bishop Peter Storey,"Oct 9, 2022",4909,8,145,30,2628,732.1779,10,25108,4.3
etAKMUk3Wuw,Sunday Morning Worship Service - 3/10/19 - Rev. Dr. Sam Miglarese,"Mar 10, 2019",4781,8,0,5,1150,209.9314,-2,11356,3.9
g1V3sHENyVE,The Ordination of The Reverend Kori Jones - 8/28/10,"Sep 8, 2010",6321,8,18,6,2914,192.383,3,6033,5.8
rMc3CYCMaM0,Last Words: Bach's final musical expression,"May 7, 2017",4801,8,22,49,4121,456.0028,2,19554,4.28
3JdCkQljPpI,Catholic Mass - 2/13/13 - Ash Wednesday,"Feb 13, 2013",3647,7,30,21,13964,1079.6529,12,19313,5.89
8cBb1MWtX64,Duke Chapel Virtual Tower Climb,"Apr 22, 2021",278,7,145,57,5184,194.1435,11,35798,4.29
APgmRPXtmx0,2019 Martin Luther King Jr. Commemoration,"Jan 20, 2019",6597,7,82,27,2094,374.847,14,24767,2.05
DQD6fOtwOTU,Easter Sunday Service - 4/4/10 - Sam Wells,"Apr 6, 2010",4971,7,9,36,20676,1288.3153,11,33489,5.73
ED2Zxt3WJvM,Choral Evensong Service in Memory of J. Samuel Hammond,"Aug 22, 2021",7361,7,42,28,1642,504.315,3,20087,3.67
HrLFeiE66-s,"Catholic Mass - 2/22/12 - Ash Wednesday, 12pm","Feb 22, 2012",4396,7,5,4,4537,265.7531,3,8957,5.34
JUqR-h6HeCA,Mary Duke Biddle Trent Semans - A Service of Death and Resurrection - Live,"Jan 30, 2012",8253,7,40,20,7385,489.3351,7,14668,6.52
X9NM-1u16qc,University Worship Service - 4/16/17 - Luke Powery,"Apr 16, 2017",5458,7,26,14,3553,716.2343,1,10409,7.31
XOACs-3WUkM,Organ Recital: J. S. Bach and His Legacy,"Mar 21, 2021",5950,7,75,105,2882,608.5409,46,38006,3.57
ZnJ2xceDJu4,Duke Chapel Reads Conversation on 'Jesus and the Disinherited',"Apr 7, 2021",3903,7,270,135,7820,1922.6255,88,82403,4.98
k6T-ZgIoMco,Sunday Morning Worship Service - 12/1/19 - Rev. Ismael Ruiz-Millan,"Dec 1, 2019",5228,7,16,10,1061,278.7727,2,9476,3.97
qdwQtSEDwh8,Ordination of Giovanna Meek,"Nov 8, 2016",4870,7,17,12,2525,237.3133,2,8369,10.18
qfGF5Uc_PXE,Christmas Eve Worship Service 2 PM - 12/24/16,"Dec 24, 2016",3027,7,6,4,977,78.9287,2,3032,3.13
vo7EZoKzky0,Doctor of Physical Therapy White Coat Ceremony,"Jun 9, 2022",5056,7,42,26,2043,227.2192,1,20458,3.19
xjcbOa0LVQ0,2016 All Hallows' Eve,"Nov 1, 2016",5411,7,18,11,3811,272.7575,4,7210,4.31
ynIqHZclr_A,Organ Music for Advent and Christmas,"Dec 17, 2017",5454,7,12,18,273,81.3402,1,107,0
zv60mJoW-eA,University Worship Service - 4/8/18 - Student Preacher Sunday,"Apr 8, 2018",4887,7,16,4,1236,224.6219,4,14161,2.87
 -nzrN7ouck0,Choral Evensong Worship Service - 10/8/17,"Oct 8, 2017",3968,6,8,8,882,185.028,1,4344,3.48
 -uKo0FvZ_hw,Nursing School Graduation Ceremony,"Dec 8, 2018",8648,6,55,11,1444,237.5434,3,17112,2.61
2rzdcWHjAis,"Dr Robert Parkins performs Pierné's Prélude, Op. 29, No. 1","Mar 6, 2009",234,6,2,19,5048,35.4341,0,4832,4.24
4JTe6Pv2hfU,Christmas Eve Lessons and Carols - 12/24/18,"Dec 25, 2018",5927,6,80,46,6853,892.8179,18,45103,6.5
BKpS8zgg6TE,Sunday Sermon - Does God Heal? - Sam Wells,"Feb 19, 2009",1369,6,268,73,9428,1350.9762,26,56386,5.71
COCpuo2vW4k,Service of Word and Prayer - 3/15/20,"Mar 15, 2020",2587,6,23,23,2434,346.5373,5,20355,3.6
DKwQ7mUgn0k,University Worship Service - 9/4/16 - Luke Powery,"Sep 4, 2016",5201,6,4,4,1175,260.5863,2,2432,3.66
DS9l8RmzMHM,Easter Sunday Worship - 3/31/13 - 11AM - Luke Powery,"Mar 31, 2013",5581,6,26,27,14210,1411.1373,11,35365,7.9
FlD0V-TSE6Y,The Consecration of the XII Bishop Diocesan,"Jul 15, 2017",10899,6,36,32,5083,1474.7789,5,23171,5.35
Fqvb043EJWg,Catholic Mass - 4/8/12 - Easter Sunday of the Resurrection of the Lord,"Apr 9, 2012",4535,6,10,19,8767,418.2727,9,10307,4.29
G0aFH_capOA,Catholic Mass - 4/18/14 - Good Friday,"Apr 18, 2014",5653,6,7,11,6028,580.6441,2,22522,4.68
Hl8e_-lom2o,Choral Evensong Worship Service - 2/24/19,"Feb 24, 2019",2871,6,1,6,539,107.6148,2,9231,2.68
JBJ0WCPEpUw,Sunday Service - 4/3/11 - Shane Claiborne,"Apr 4, 2011",4696,6,13,23,7050,422.3919,6,3692,2.65
LOwFsQPLeS4,Christmas Eve Worship Service,"Dec 24, 2020",4580,6,73,39,4031,949.7484,13,32188,3.53
NsjM7UtzQJQ,"Interview with Cynthia Hale on ""And We Know That""","May 17, 2021",746,6,20,34,4245,93.4249,23,32126,1.53
WrZO4eQxJWU,Sunday Morning Worship Service - 10/17/21 - Dean Luke A. Powery,"Oct 17, 2021",5037,6,29,22,1569,471.5835,4,20588,4.14
Y7V4OQsBm3w,Sunday Morning Worship Service - 4/14/24 - Dean Luke Powery,"Apr 15, 2024",6021,6,33,16,1412,450.7337,5,14540,5.3
_Wv2PORs7XU,Sounds of Faith: Called to Ventures & Fugue in E-flat Major,"Jun 3, 2020",429,6,0,2,84,4.0101,1,1456,1.79
aXxJPi6RTHY,Christmas Eve Children's Service,"Dec 24, 2018",3117,6,4,12,1501,132.4233,0,13518,4.76
ddsgqyTxMEw,Convocation and Pastors’ School Worship Service,"Oct 7, 2019",4751,6,0,5,302,32.3865,1,11187,1.12
e7AtVAbd7jg,Choir of St. Martin-in-the-Fields - 6/9/14,"Jun 10, 2014",6038,6,68,42,18964,1273.5631,26,49269,7.48
eAech6HYK0A,Choral Evensong Worship Service - 5/22/16,"May 22, 2016",4410,6,10,16,3278,527.8163,1,7737,5.64
eeNswHxpw-Y,Sunday Service - 12/5/10 - Walter Brueggemann,"Dec 6, 2010",4287,6,46,36,11101,992.4539,18,24753,4.7
etmkM8LzQfM,Sunday Morning Worship Service 9-29-19,"Sep 29, 2019",5584,6,0,0,411,81.7809,0,1165,9.61
fa5DYgtFOjE,North Carolina Boy's Choir Concert - 12/17/12,"Dec 18, 2012",9240,6,12,16,4052,407.118,3,4739,4.22
ihjQ5VHLdkk,Music of the Sistine Chapel: Duke Vespers Ensemble Concert Live,"Apr 21, 2012",4202,6,49,36,10645,1073.9553,12,19341,4.58
iu47IEOdSuU,Hippocratic Oath Ceremony: Duke School of Medicine,"May 9, 2015",5952,6,11,10,1548,120.0038,1,16677,2.24
kXmO6nsA5eM,Sunday Morning Worship Service - 8/21/22 - Dean Luke A. Powery,"Aug 21, 2022",4163,6,9,15,1174,347.9039,3,13599,4.68
lTCcsMBp6UM,Martin Luther King Jr. Commemoration - 1/19/20,"Jan 19, 2020",6246,6,28,14,809,152.8831,2,14066,1.73
n1dI8bKmCrc,"Faith, Mental Health, and Community","Oct 4, 2023",3513,6,212,69,1860,444.0975,31,16859,3.45
oS7gRLAcTm8,A Sunday Morning Medley (United in Praise),"May 3, 2021",297,6,24,45,1782,50.8375,4,10004,2.87
pLK8f8Q9S8Q,2017 Convocation for New Undergraduate Students,"Aug 23, 2017",3199,6,60,11,2700,375.4191,1,3576,3.52
po2Z2X2NXwU,Easter Sunday Worship Service - 04/09/23 - Dean Luke Powery,"Apr 9, 2023",4785,6,75,39,3559,891.1134,10,33444,6.26
ryXoYjfkxJE,Sunday Morning Worship Service - 8/4/19 - Dean Luke Powery,"Aug 4, 2019",5060,6,12,7,881,217.8008,-1,8061,3.99
tCc-PhHMRMg,"Jesus, So Lowly (Harold Friedell)","Apr 29, 2021",176,6,71,29,2787,107.6952,2,12998,5.35
umarxElVv2k,Called to Hope,"Oct 9, 2020",3858,6,11,8,537,56.8836,3,10566,1.62
 -bfRjoKTOj8,Choral Evensong Worship Service - 12/12/21,"Dec 12, 2021",3805,5,10,18,718,105.4861,4,12940,3.31
0-KZHmegC0I,Easter Worship Service - 3/27/16 - Luke Powery,"Mar 27, 2016",4514,5,4,7,2412,350.0075,0,7637,4.78
1I1KZvjvMPU,"Dr David Arcus performs the Chorale from Jongen's Quatre Pièces, Op. 37","Mar 5, 2009",253,5,3,12,3623,59.5896,5,5326,5.01
27Cxv4WLcwI,Sunday Morning Worship Service - 2/2/20 - Rev. Dr. Lauren Winner,"Feb 2, 2020",5748,5,16,11,1694,362.6775,5,13673,4.12
2mcosBEiCUs,Sounds of Faith: Hear My Prayer by Stephanie Martin,"May 6, 2020",428,5,9,22,1038,44.0549,2,12506,2.44
3lQH7SAkcxs,Organ Recital Series - 11/15/09 - Gerre Hancock Improvisation excerpt,"Sep 29, 2014",1643,5,28,52,6890,446.4453,14,30017,6.01
4UW2BjAZmkI,Faith & Hope & Love Abide: Meditations on Resurrection,"Apr 11, 2021",3401,5,55,41,1280,281.7477,12,19189,2.4
6UUIcsW0gAc,Choral Vespers Worship Service - 11/11/21,"Nov 12, 2021",2592,5,2,9,357,47.7908,3,9374,1.93
